No,Season,Team,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
1,2023/2024,Arsenal,11,962,25,14,14.52,10.68,23.16,14.21,1.93,1.19
2,2022/2023,Arsenal,38,3216,84,64,15.57,11.7,77.36,55.78,2.03,1.47
3,2021/2022,Arsenal,38,3034,60,41,15.48,11.41,64.55,39.97,1.71,1.06
4,2020/2021,Arsenal,32,2577,53,38,12.01,8.74,53.26,36.21,1.41,0.96
5,2019/2020,Arsenal,26,1769,1,5,0.66,1.07,1.14,3.68,0.06,0.19
